                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                 1.7734,                 1.6649,                 1.7081,                0.63049,                0.61668,                0.62812,                0.33792,                 1.7565,                 1.4776,                 1.6076,             0.00020909,             0.00020909,             0.00020909
                     85,                 1.8324,                 1.6765,                  1.738,                0.63386,                0.59789,                0.63309,                 0.3206,                 1.8497,                 1.4141,                 1.6636,             0.00019809,             0.00019809,             0.00019809
                     86,                 1.7822,                 1.6259,                 1.7042,                0.63874,                 0.6196,                0.65769,                0.35679,                 1.7141,                 1.3392,                 1.5839,             0.00018709,             0.00018709,             0.00018709
                     87,                 1.7823,                 1.6874,                 1.7289,                0.68762,                0.61522,                0.66829,                0.35872,                 1.7033,                 1.3714,                 1.5762,             0.00017609,             0.00017609,             0.00017609
                     88,                 1.8407,                  1.724,                 1.7509,                0.64915,                0.64924,                0.65753,                 0.3579,                 1.7219,                 1.3457,                 1.5833,             0.00016509,             0.00016509,             0.00016509
                     89,                 1.8115,                 1.6562,                 1.7309,                0.62317,                0.63703,                0.65582,                 0.3576,                 1.6988,                 1.3461,                 1.5794,              0.0001541,              0.0001541,              0.0001541
                     90,                 1.7978,                 1.6284,                 1.7346,                0.65513,                0.62758,                0.67495,                0.37248,                 1.6736,                 1.3519,                 1.5606,              0.0001431,              0.0001431,              0.0001431
                     91,                 1.8046,                 1.6196,                 1.7179,                0.64028,                0.61762,                0.65814,                0.35116,                  1.688,                 1.3689,                 1.5734,              0.0001321,              0.0001321,              0.0001321
                     92,                 1.7789,                 1.6157,                   1.69,                0.69944,                0.62522,                0.69937,                 0.3884,                 1.6875,                  1.308,                 1.5591,              0.0001211,              0.0001211,              0.0001211
                     93,                 1.7481,                 1.6321,                 1.6996,                 0.6435,                0.63491,                0.68413,                0.37934,                 1.6647,                  1.306,                 1.5512,              0.0001101,              0.0001101,              0.0001101
                     94,                 1.7483,                 1.5659,                 1.6673,                0.66612,                0.66197,                0.70837,                0.39579,                  1.645,                 1.3082,                 1.5345,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     95,                 1.7362,                 1.5279,                 1.6428,                0.67624,                0.67008,                0.70879,                0.39802,                 1.6377,                 1.2716,                 1.5321,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     96,                 1.7291,                 1.5045,                 1.6504,                0.70574,                0.66375,                0.71597,                0.40615,                 1.6377,                 1.2584,                 1.5304,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     97,                 1.7283,                 1.4966,                  1.664,                0.70002,                0.65906,                0.72622,                0.41529,                 1.6293,                 1.2512,                 1.5239,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     98,                 1.7501,                 1.5262,                 1.6528,                0.72425,                0.66975,                0.73365,                0.41823,                 1.6184,                 1.2545,                 1.5203,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     99,                  1.741,                 1.5357,                 1.6566,                0.71481,                0.66447,                0.73593,                0.42363,                 1.6103,                 1.2417,                 1.5187,             4.4107e-05,             4.4107e-05,             4.4107e-05
                    100,                 1.7252,                 1.4863,                 1.6342,                0.74434,                  0.659,                 0.7396,                0.42606,                 1.5995,                 1.2387,                 1.5107,             3.3108e-05,             3.3108e-05,             3.3108e-05
